年度,交付金,目標,目標名,指標群,指標,列番号,配点,北塩原村,全国平均,全国中央値,標準偏差,該当市町村数,該当率
令和6年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,目標Ⅰｰ（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ウ / ④,230,1.0,0.0,0.03676048248133257,,0.1881731899317015,64.0,0.03676048248133257
令和6年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,目標Ⅰｰ（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / エ,231,1.0,0.0,0.01263641585295807,,0.11169931444440105,22.0,0.01263641585295807
令和6年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ（ⅰ） 計,232,52.0,12.0,31.41183228029868,33.0,13.968696361248412,,
令和6年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ（ⅱ） 計,233,48.0,15.0,20.10511200459506,20.0,6.470529866309973,,
令和6年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ 合計,234,100.0,27.0,51.51694428489374,52.0,17.355934453012747,,
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 認知症初期集中支援チームの活動状況 / ア,235,5.0,5.0,4.675473865594486,,1.2317927829449986,1628.0,0.9350947731188972
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 認知症初期集中支援チームの活動状況 / イ,236,5.0,5.0,4.506031016657094,,1.491924783697123,1569.0,0.9012062033314188
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 認知症初期集中支援チームの活動状況 / ウ,237,5.0,5.0,4.264790350373349,,1.7707385519124819,1485.0,0.8529580700746697
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 認知症初期集中支援チームの活動状況 / エ,238,5.0,5.0,3.736358414704193,,2.1728823876110126,1301.0,0.7472716829408386
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / ア,239,4.0,4.0,3.7380815623205055,,0.9894809157944942,1627.0,0.9345203905801264
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / イ,240,5.0,5.0,4.483055715106261,,1.5223304604403067,1561.0,0.8966111430212521
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / ウ,241,5.0,0.0,2.6507754164273405,,2.4954492128274546,923.0,0.5301550832854681
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / エ,242,5.0,0.0,2.8920160827110855,,2.4690733871021036,1007.0,0.5784032165422172
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,3 / 認知症サポーター等を活用した地域支援体制の構築 / ア,243,5.0,0.0,3.351522113727743,,2.350512729136483,1167.0,0.6703044227455486
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,3 / 認知症サポーター等を活用した地域支援体制の構築 / イ,244,5.0,0.0,3.2452613440551406,,2.3863330716932882,1130.0,0.6490522688110282
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,3 / 認知症サポーター等を活用した地域支援体制の構築 / ウ,245,5.0,5.0,2.4583572659391155,,2.4996531524793464,856.0,0.49167145318782307
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,3 / 認知症サポーター等を活用した地域支援体制の構築 / エ,246,5.0,0.0,1.5192418150488225,,2.2995898292198267,529.0,0.3038483630097645
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅰ）体制・取組指標群,3 / 認知症サポーター等を活用した地域支援体制の構築 / オ,247,5.0,0.0,0.9161401493394601,,1.9342667792901713,319.0,0.18322802986789202
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,1 / 認知症サポーター数 / ア,248,3.0,0.0,2.097070649052269,,1.3760474701260499,1217.0,0.6990235496840896
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,1 / 認知症サポーター数 / イ,249,3.0,0.0,1.4974152785755313,,1.4999977730700662,869.0,0.4991384261918438
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,1 / 認知症サポーター数 / ウ,250,3.0,0.0,0.8994830557151062,,1.3745469797816057,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,1 / 認知症サポーター数 / エ,251,3.0,0.0,0.2998276852383688,,0.8997702011512205,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / ア,252,3.0,0.0,0.7392303273980471,,1.29276042066932,429.0,0.24641010913268235
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / イ,253,3.0,0.0,0.3687535898908673,,0.985028710046159,214.0,0.12291786329695577
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / ウ,254,3.0,0.0,0.2205628948879954,,0.7829691526890528,128.0,0.07352096496266514
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / エ,255,3.0,0.0,0.07237219988512349,,0.46030301361077164,42.0,0.024124066628374498
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,3 / 認知症地域支援推進員の業務の状況 / ア,256,3.0,3.0,2.3555427914991385,,1.2320903099667093,1367.0,0.7851809304997128
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,3 / 認知症地域支援推進員の業務の状況 / イ,257,3.0,3.0,1.8403216542217116,,1.4608836954623725,1068.0,0.6134405514072372
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,3 / 認知症地域支援推進員の業務の状況 / ウ,258,3.0,0.0,1.1355542791499138,,1.455053028777323,659.0,0.3785180930499713
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,目標Ⅱｰ（ⅱ）活動指標群,3 / 認知症地域支援推進員の業務の状況 / エ,259,3.0,0.0,0.5582998276852383,,1.1675618979147737,324.0,0.1860999425617461
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ（ⅰ） 計,260,64.0,34.0,42.437105112004595,44.0,14.336891096079414,,
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ（ⅱ） 計,261,36.0,6.0,12.08443423319931,12.0,7.193341589343319,,
令和6年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ 合計,262,100.0,40.0,54.521539345203905,56.0,18.014424660527755,,
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / ア,263,5.0,5.0,2.794371051120046,,2.482608645006796,973.0,0.5588742102240092
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / イ,264,6.0,6.0,5.27972429638139,,1.9500915702828872,1532.0,0.8799540493968984
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / ウ,265,5.0,0.0,3.3486502010338888,,2.3515511553621664,1166.0,0.6697300402067777
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / エ,266,5.0,0.0,2.1711659965537047,,2.4782792817149324,756.0,0.43423319931074095
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / オ,267,5.0,0.0,2.291786329695577,,2.4913143253107104,798.0,0.45835726593911547
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / ア,268,5.0,5.0,4.549109707064905,,1.4321834409084537,1584.0,0.909821941412981
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ①,269,2.0,2.0,1.7702469844916715,,0.6377457039302474,1541.0,0.8851234922458358
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ②,270,2.0,2.0,1.5393452039058013,,0.8420847647498497,1340.0,0.7696726019529007
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ③,271,2.0,0.0,1.7242963813900059,,0.6894887612610835,1501.0,0.8621481906950029
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / ウ,272,5.0,0.0,3.658816771970132,,2.2152073692999315,1274.0,0.7317633543940264
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / エ,273,5.0,0.0,3.477886272257323,,2.3008125604948084,1211.0,0.6955772544514647
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / ア,274,5.0,5.0,4.563469270534176,,1.411415803213623,1589.0,0.9126938541068351
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / イ,275,6.0,6.0,5.186674325100517,,2.053887873265286,1505.0,0.8644457208500862
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / ウ,276,5.0,0.0,3.520964962665135,,2.282023344536637,1226.0,0.704192992533027
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / エ,277,5.0,0.0,3.4032165422171166,,2.3311370354111225,1185.0,0.6806433084434234
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / ア / ①,278,2.0,2.0,1.3991958644457207,,0.9168656727184379,1218.0,0.6995979322228604
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / ア / ②,279,2.0,2.0,0.9994256174612292,,0.9999998350423359,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / ア / ③,280,2.0,2.0,0.5996553704767376,,0.9163646531877371,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / ア / ④,281,2.0,0.0,0.19988512349224583,,0.5998468007674803,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / イ / ①,282,2.0,2.0,1.3991958644457207,,0.9168656727184379,1218.0,0.6995979322228604
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / イ / ②,283,2.0,0.0,0.9994256174612292,,0.9999998350423359,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / イ / ③,284,2.0,0.0,0.5996553704767376,,0.9163646531877371,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,1 / 入退院支援の実施状況 / イ / ④,285,2.0,0.0,0.19988512349224583,,0.5998468007674803,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / ア / ①,286,2.0,0.0,1.3991958644457207,,0.9168656727184379,1218.0,0.6995979322228604
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / ア / ②,287,2.0,0.0,0.9994256174612292,,0.9999998350423359,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / ア / ③,288,2.0,0.0,0.5996553704767376,,0.9163646531877371,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / ア / ④,289,2.0,0.0,0.19988512349224583,,0.5998468007674803,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / イ / ①,290,2.0,0.0,1.3991958644457207,,0.9168656727184379,1218.0,0.6995979322228604
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / イ / ②,291,2.0,0.0,0.9994256174612292,,0.9999998350423359,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / イ / ③,292,2.0,0.0,0.5996553704767376,,0.9163646531877371,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,目標Ⅲｰ（ⅱ）活動指標群,2 / 人生の最終段階における支援の実施状況 / イ / ④,293,2.0,0.0,0.19988512349224583,,0.5998468007674803,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,,Ⅲ（ⅰ） 計,294,68.0,31.0,49.27972429638139,53.0,17.852332802282064,,
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,,Ⅲ（ⅱ） 計,295,32.0,8.0,12.792647903503733,12.0,7.114156789088821,,
令和6年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,,Ⅲ 合計,296,100.0,39.0,62.07237219988512,66.0,20.806221194169524,,
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ①,297,5.0,5.0,2.1395749569213094,,2.473882331138998,745.0,0.4279149913842619
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ②,298,5.0,5.0,1.7231476163124642,,2.3762365989015053,600.0,0.3446295232624928
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ③,299,5.0,5.0,1.1774842044801839,,2.121544713316358,410.0,0.23549684089603676
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ④,300,5.0,0.0,0.4595060310166571,,1.4444321938196354,160.0,0.09190120620333142
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ①,301,5.0,0.0,1.9730040206777715,,2.44382389663785,687.0,0.39460080413555426
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ②,302,5.0,0.0,1.6542217116599656,,2.352585617352236,576.0,0.3308443423319931
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ③,303,5.0,0.0,1.1401493394600803,,2.0978098534016723,397.0,0.22802986789201607
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ④,304,5.0,0.0,0.44514646754738657,,1.423930110703126,155.0,0.08902929350947732
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / ア,305,5.0,5.0,3.55255600229753,,2.267625600055583,1237.0,0.710511200459506
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / イ,306,5.0,0.0,2.498564043653073,,2.49999958760584,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / ウ,307,5.0,0.0,1.4991384261918437,,2.2909116329693426,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / エ,308,5.0,0.0,0.5054566341183228,,1.507248075672147,176.0,0.10109132682366456
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / ア / ①,309,5.0,0.0,2.1711659965537047,,2.4782792817149324,756.0,0.43423319931074095
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / ア / ②,310,5.0,0.0,1.717403790924756,,2.374351105784706,598.0,0.34348075818495116
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / ア / ③,311,5.0,0.0,1.1430212521539345,,2.099668706699732,398.0,0.22860425043078691
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / ア / ④,312,5.0,0.0,0.40781160252728316,,1.3684837264215257,142.0,0.08156232050545663
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / イ / ①,313,5.0,5.0,1.9184376794945435,,2.4314163089377163,668.0,0.3836875358989087
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / イ / ②,314,5.0,5.0,1.4704192992533027,,2.278149156804694,512.0,0.29408385985066055
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / イ / ③,315,5.0,5.0,0.9850660539919587,,1.9887119296752118,343.0,0.19701321079839174
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,3 / 短期的な要介護度の変化（要介護３～５） / イ / ④,316,5.0,5.0,0.36473291211947156,,1.3002440014913383,127.0,0.07294658242389432
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,4 / 長期的な要介護度の変化（要介護３～５） / ア,317,5.0,5.0,3.497989661114302,,2.2921641817960947,1218.0,0.6995979322228604
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,4 / 長期的な要介護度の変化（要介護３～５） / イ,318,5.0,5.0,2.498564043653073,,2.49999958760584,870.0,0.4997128087306146
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,4 / 長期的な要介護度の変化（要介護３～５） / ウ,319,5.0,5.0,1.4991384261918437,,2.2909116329693426,522.0,0.2998276852383688
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,4 / 長期的な要介護度の変化（要介護３～５） / エ,320,5.0,0.0,0.4997128087306146,,1.499617001918701,174.0,0.09994256174612291
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / ア / ①,321,5.0,5.0,2.2142446869615164,,2.483615087140171,771.0,0.4428489373923033
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / ア / ②,322,5.0,5.0,1.797817346352671,,2.3993623154740082,626.0,0.3595634692705342
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / ア / ③,323,5.0,0.0,1.2693854106835152,,2.1761405590084064,442.0,0.25387708213670307
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / ア / ④,324,5.0,0.0,0.44514646754738657,,1.423930110703126,155.0,0.08902929350947732
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / イ / ①,325,5.0,0.0,2.334865020103389,,2.4945401256372977,813.0,0.46697300402067776
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / イ / ②,326,5.0,0.0,1.8638713383113152,,2.417713863503736,649.0,0.37277426766226307
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / イ / ③,327,5.0,0.0,1.2837449741527858,,2.184198643004201,447.0,0.25674899483055713
令和6年度,支援交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,成果指標群,5 / 健康寿命延伸の状況 / イ / ④,328,5.0,0.0,0.456634118322803,,1.4403665761178892,159.0,0.0913268236645606
令和6年度,支援交付金,,,,Ⅳ 合計,329,100.0,65.0,48.60712234348076,50.0,17.365173933969167,,
令和6年度,支援交付金,,,,支援合計,330,400.0,171.0,216.71797817346354,222.0,48.31335901155518,,
令和6年度,推進交付金,,,,推進・支援合計,331,800.0,295.0,422.35496840896036,428.0,95.90812851462101,,
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / ア,15,4.0,4.0,3.896611143021252,,0.6347173955136407,1696.0,0.974152785755313
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / イ,16,4.0,4.0,3.7541642734060883,,0.9606808533044102,1634.0,0.9385410683515221
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / ウ,17,4.0,4.0,3.763354394026422,,0.9437061412684096,1638.0,0.9408385985066055
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,1 / 地域の介護保険事業の特徴 / エ,18,4.0,0.0,2.979896611143021,,1.7435029771900084,1297.0,0.7449741527857553
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / ア,19,4.0,0.0,3.8207926479035037,,0.8274745514760846,1663.0,0.9551981619758759
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / イ,20,4.0,0.0,3.4003446295232624,,1.4279477996640342,1480.0,0.8500861573808156
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / ウ,21,4.0,0.0,2.791499138426192,,1.836716938962179,1215.0,0.697874784606548
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,2 / 事業計画の進捗状況 / エ,22,4.0,0.0,2.5847214244686962,,1.9126162332698369,1125.0,0.6461803561171741
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ①,23,1.0,0.0,0.9408385985066055,,0.2359265353171024,1638.0,0.9408385985066055
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ②,24,1.0,0.0,0.9620907524411257,,0.1909767957328696,1675.0,0.9620907524411257
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ③,25,1.0,0.0,0.9396898334290638,,0.2380606023245387,1636.0,0.9396898334290638
令和7年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ④,26,1.0,0.0,0.887421022400919,,0.31607744525958603,1545.0,0.887421022400919
