code,chart,大項目,系列,単位,period,value
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和8年3月末時点,25.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和8年4月末時点,23.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和元年3月末,26.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和2年3月末,19.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和3年3月末,22.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和4年3月末,21.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和5年3月末,28.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和6年3月末,20.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和7年3月末時点,19.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和8年3月末時点,19.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護４）,（人）,令和8年4月末時点,19.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和元年3月末,17.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和2年3月末,18.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和3年3月末,13.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和4年3月末,11.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和5年3月末,8.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和6年3月末,13.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和7年3月末時点,17.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和8年3月末時点,15.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護５）,（人）,令和8年4月末時点,12.0
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和元年3月末,18.7
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和2年3月末,17.4
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和3年3月末,18.2
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和4年3月末,18.4
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和5年3月末,18.8
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和6年3月末,19.9
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和7年3月末時点,19.6
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和8年3月末時点,21.1
P2,要介護（要支援）認定者数、認定率の推移,認定率,認定率,（%）,令和8年4月末時点,20.7
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和元年3月末,19.1
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和2年3月末,19.2
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和3年3月末,19.3
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和4年3月末,19.3
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和5年3月末,19.2
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和6年3月末,19.3
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和7年3月末時点,19.5
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和8年3月末時点,19.8
P2,要介護（要支援）認定者数、認定率の推移,認定率（福島県）,認定率（福島県）,（%）,令和8年4月末時点,19.8
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和元年3月末,18.3
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和2年3月末,18.4
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和3年3月末,18.7
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和4年3月末,18.9
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和5年3月末,19.0
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和6年3月末,19.4
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和7年3月末時点,19.7
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和8年3月末時点,20.2
P2,要介護（要支援）認定者数、認定率の推移,認定率（全国）,認定率（全国）,（%）,令和8年4月末時点,20.2
