② 営業先マスタ ｜ 北海道179市町村・東北6県227市町村・7道県（計413団体）,,,,,,,,,,,,,,
No,都道府県,自治体名,区分,地域,区域施策編 策定義務,現行 環境基本計画 名称,計画期間 開始年度,計画期間 終期年度,R9年度満了 判定,確認状況,出典・確認先,接触優先度 （仮置き）,次アクション,備考
126,北海道,小清水町,町,オホーツク（振興局）,努力義務,関連：小清水町地球温暖化対策実行計画,令和6年度(2024),令和12年度(2030),未確認（関連計画のみ）,関連計画確認,町公式ページで温対実行計画R6-R12を確認。環境基本計画ではない https://www.town.koshimizu.hokkaido.jp/hotnews/detail/00000149.html,中（温対連携）,環境基本計画は未確認。温対計画の進捗管理・見直し支援を入口にする,
127,北海道,訓子府町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,総合計画等は確認できるが、環境基本計画の期間は未確認,低（未確認継続）,公式計画一覧・環境担当課ページを継続確認,
128,北海道,置戸町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式計画一覧確認,町公式の政策・計画一覧では環境基本計画の直接掲載を確認できず https://www.town.oketo.hokkaido.jp/chosei/seisaku/,低（未確認継続）,環境担当ページ・温対計画の有無を継続確認,
129,北海道,佐呂間町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,総合計画等は確認できるが、環境基本計画の期間は未確認,低（未確認継続）,公式計画一覧・環境担当課ページを継続確認,
130,北海道,遠軽町,町,オホーツク（振興局）,努力義務,第2次遠軽町環境基本計画,令和5年度(2023),令和14年度(2032)目安,非該当,確認済（10年計画から整理）,町公式ページでR5年3月策定を確認。周期表PDF確認で『おおむね10年』をR5-R14目安として整理 https://engaru.jp/life/page.php?id=306,低（期間先）,次期改定はR13年度頃に予算化確認,
131,北海道,湧別町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,総合計画等は確認できるが、環境基本計画の期間は未確認,低（未確認継続）,公式計画一覧・環境担当課ページを継続確認,
132,北海道,滝上町,町,オホーツク（振興局）,努力義務,関連：ゼロカーボン推進計画・地球温暖化対策実行計画(区域施策編),令和5年度(2023),令和12年度(2030),未確認（関連計画のみ）,関連計画確認,町公式ページで温対区域施策編R5-R12を確認。環境基本計画ではない https://www.town.takinoue.hokkaido.jp/shokai/machizukuri/230331.html,中（温対連携）,環境基本計画は未確認。温対計画の見直し・事業化支援を入口にする,
133,北海道,興部町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,総合計画等は確認できるが、環境基本計画の期間は未確認,低（未確認継続）,公式計画一覧・環境担当課ページを継続確認,
134,北海道,西興部村,村,オホーツク（振興局）,努力義務,関連：西興部村総合計画,令和4年度(2022),令和13年度(2031),未確認（環境基本計画は未確認）,上位計画確認,総合計画R4-R13は確認。環境基本計画の期間ではない https://www.vill.nishiokoppe.lg.jp/section/kikaku/feeuub00000dorv8.html,低（環境基本計画未確認）,後期計画作業と環境分野の個別計画有無を確認,
135,北海道,雄武町,町,オホーツク（振興局）,努力義務,関連：第6期雄武町総合計画後期基本計画,令和5年度(2023),令和9年度(2027),未確認（環境基本計画は未確認）,上位計画確認,総合計画後期R5-R9は確認。環境基本計画の期間ではない https://www.town.oumu.hokkaido.jp/soshiki/sougouseisakuka/keikaku_shisaku/sogokeikaku/dai6kisogokeikaku/keikakusakutei/koukikihonkeikaku/2590.html,中（総合計画R9・環境は未確認）,総合計画改定に合わせた環境分野・温対分野の支援余地を確認,
136,北海道,大空町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,総合計画等は確認できるが、環境基本計画の期間は未確認,低（未確認継続）,公式計画一覧・環境担当課ページを継続確認,
137,北海道,室蘭市,市,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
138,北海道,苫小牧市,市,胆振（振興局）,努力義務,苫小牧市第4次環境基本計画～第1期ゼロカーボン推進計画～,令和5年度(2023),令和12年度(2030),非該当（期間中改定）,確認済,苫小牧市公式ページ https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/kihonkeikaku.html でR5～R12を確認。環境審議会 https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/shingikai.html でR8年度の改定諮問を確認,優先（期間中改定・S+/A）,R9満了ではなく、令和8年度の改定諮問・発注/受託範囲を確認。範囲外の二次分析、財源対応表、事業者・公共施設脱炭素支援で提案する,
139,北海道,登別市,市,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
140,北海道,伊達市,市,胆振（振興局）,努力義務,第3次伊達市環境基本計画,,,要確認,未確認,伊達市（北海道）サイトに第3次計画の掲載あり。期間を要確認,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
141,北海道,豊浦町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
142,北海道,壮瞥町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
143,北海道,白老町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
144,北海道,厚真町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
145,北海道,洞爺湖町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
146,北海道,安平町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
147,北海道,むかわ町,町,胆振（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
148,北海道,日高町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
149,北海道,平取町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
150,北海道,新冠町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
151,北海道,浦河町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
152,北海道,様似町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
153,北海道,えりも町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
154,北海道,新ひだか町,町,日高（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
155,北海道,帯広市,市,十勝（振興局）,努力義務,第三期帯広市環境基本計画,令和2年度(2020),,要確認,一部確認（策定年のみ）,帯広市 第三期環境基本計画（令和2年3月策定）。第二期は平成22年度～平成31年度。終期はPDF確認が必要,中（終期要確認）,計画PDFで終期を確認する。10年計画なら令和11年度満了,
156,北海道,音更町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索・関連計画確認,町公式情報では都市計画・総合計画等が中心。環境基本計画の直接ページは未確認,低（未確認継続）,公式サイト内検索・環境担当課ページ・計画一覧で環境基本計画PDFの有無を継続確認,
157,北海道,士幌町,町,十勝（振興局）,努力義務,第2期士幌町環境基本計画（中間見直し後）,平成30年度(2018),令和9年度(2027),★該当,確認済,士幌町公式ページ https://www.shihoro.jp/town/detail.php?content=1097&domain_status=hakgy39gjamvyha022gaz。平成30年度～令和9年度、令和5年度中間見直し・ゼロカーボン追記を確認。追加周期表では未確認だったが今回確認済,優先（R9満了・町村）,令和9年度当初予算への計上を狙い、町村向けの軽量改定、温対実行計画・事務事業編との一体支援で提案する,
158,北海道,上士幌町,町,十勝（振興局）,努力義務,第2次上士幌町環境基本計画,令和6年度(2024)策定,終期要PDF確認,要確認,一部確認（策定時期確認）,町公式ページで第2次計画策定を確認。HTML上では計画期間の終期が読めない https://www.kamishihoro.jp/page/00000416,優先（策定済・期間要確認）,PDF本文の計画期間だけ確認。R9満了候補ではなくR6策定直後の可能性が高い,
159,北海道,鹿追町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,上位計画のみ確認,総合計画・後期計画は確認できるが、環境基本計画の期間は未確認 https://www.town.shikaoi.lg.jp/gyosei/seisaku_keikaku/sogo_keikaku/n7_kouki/,低（未確認継続）,総合計画と温暖化対策計画を入口に、環境基本計画の有無だけ継続確認,
160,北海道,新得町,町,十勝（振興局）,努力義務,新得町環境基本計画・地球温暖化対策実行計画(区域施策編)・気候変動適応計画,策定済（年度要PDF確認）,終期要PDF確認,要確認,一部確認（計画掲載確認）,町公式ページで環境基本計画と温対・適応計画の一体掲載を確認。HTML上では期間未確認 https://www.shintoku-town.jp/gyousei/koukai_kouhyou/tyoumin/kankyoukihonkeikaku/,優先（環境基本＋温対一体）,PDF本文で改訂時期・終期を確認。一体計画のため改定時は提案余地が大きい,
161,北海道,清水町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式計画一覧確認,町公式の計画一覧では環境基本計画の直接掲載を確認できず https://www.town.shimizu.hokkaido.jp/plans/,低（未確認継続）,同名自治体の検索混入に注意し、北海道清水町の環境担当課ページで継続確認,
162,北海道,芽室町,町,十勝（振興局）,努力義務,クリーンめむろ環境基本計画・芽室町ごみ処理基本計画,令和8年度(2026)策定予定,策定中,別扱い（R8策定中）,確認済（R8策定手続）,令和8年度町民参加予定で環境審議会・パブコメ・策定予定を確認 https://www.memuro.net/administration/sanka/yotei/R8.html,最優先（策定手続中）,既発注・自前策定・支援範囲を確認。R8年度内の審議会/パブコメ工程に沿って短期提案,
163,北海道,中札内村,村,十勝（振興局）,努力義務,関連：地球温暖化対策実行計画,令和6年度(2024)改訂,環境基本計画の終期は未確認,未確認（関連計画のみ）,関連計画確認,村公式ページで第4期地球温暖化対策実行計画を確認。環境基本計画は未確認 https://www.vill.nakasatsunai.hokkaido.jp/sonsei/gyousei/chikyu_ondan/chikyu_ondan_01/,中（温対連携）,環境基本計画の有無は継続確認。温対実行計画の進捗管理・見直しを入口にする,
164,北海道,更別村,村,十勝（振興局）,努力義務,関連：第6期更別村総合計画,平成30年度(2018),令和9年度(2027),未確認（環境基本計画は未確認）,上位計画確認,総合計画H30-R9は確認。環境基本計画の期間ではないため終期欄の転用不可 https://www.sarabetsu.jp/gyosei/seisaku/sogo/6_sogo_plan/,中（総合計画R9・環境は未確認）,総合計画改定に合わせた環境分野の個別計画有無を確認,
165,北海道,大樹町,町,十勝（振興局）,努力義務,関連：大樹町総合計画,令和6年度(2024),令和15年度(2033),未確認（環境基本計画は未確認）,上位計画確認,総合計画R6-R15は確認。環境基本計画の終期は未確認 https://www.town.taiki.hokkaido.jp/soshiki/kikakushokoka/1/1/1/544.html,低（環境基本計画未確認）,みどりの基本計画・温対計画との関係を確認し、環境基本計画の有無を継続確認,
166,北海道,広尾町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,森林整備計画等は確認できるが、環境基本計画の直接ページは未確認,低（未確認継続）,環境担当課・計画一覧で継続確認,
167,北海道,幕別町,町,十勝（振興局）,努力義務,関連：地球温暖化対策実行計画等,,環境基本計画の終期は未確認,未確認（関連計画のみ）,公式計画一覧確認,町公式の計画・ビジョン一覧で関連計画を確認。環境基本計画の直接掲載は未確認 https://www.town.makubetsu.lg.jp/chosei/choseiunei/vision/,中（温対連携）,温対実行計画や総合計画の改定時期から環境基本計画の必要性を確認,
168,北海道,池田町,町,十勝（振興局）,努力義務,池田町環境基本計画（第3次改訂）,令和8年度(2026)改訂,終期要PDF確認,非該当（改訂済）,確認済（R8改訂）,町公式ページで第3次改訂を確認。HTML上では改訂後の計画期間終期が読めない https://www.town.hokkaido-ikeda.lg.jp/kurashi/kankyo/430.html,中（改訂済・周辺支援）,PDF本文で計画期間を確認。短期は進捗管理・施策評価・アンケート分析支援を確認,
169,北海道,豊頃町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式計画一覧確認,町公式の計画・構想一覧では環境基本計画の直接掲載を確認できず https://www.toyokoro.jp/life/sub/9/index-2.html,低（未確認継続）,環境・廃棄物・温暖化関連の個別計画ページを継続確認,
170,北海道,本別町,町,十勝（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式計画一覧確認,町公式の行政計画一覧では環境基本計画の直接掲載を確認できず https://www.town.honbetsu.hokkaido.jp/web/administration/administration07.html,低（未確認継続）,環境担当ページ・温対計画の有無を継続確認,
171,北海道,足寄町,町,十勝（振興局）,努力義務,関連：地球温暖化対策実行計画・ごみ処理関連計画等,,環境基本計画の終期は未確認,未確認（関連計画のみ）,公式計画一覧確認,町公式の計画一覧で関連計画を確認。環境基本計画の直接掲載は未確認 https://www.town.ashoro.hokkaido.jp/kurashi/about-town/c_keikaku/index.html,中（温対・廃棄物連携）,関連計画の改定時期と環境基本計画の有無を継続確認,
172,北海道,陸別町,町,十勝（振興局）,努力義務,関連：ゼロカーボン・地球温暖化対策実行計画,,環境基本計画の終期は未確認,未確認（関連計画のみ）,公式計画一覧確認,町公式の計画一覧でゼロカーボン・温暖化対策関連を確認。環境基本計画は未確認 https://www.rikubetsu.jp/chosei/keikaku/,中（温対連携）,温対実行計画の見直し時期から環境基本計画の有無を確認,
173,北海道,浦幌町,町,十勝（振興局）,努力義務,関連：地球温暖化対策実行計画(区域施策編),令和7年度(2025),令和12年度(2030),未確認（関連計画のみ）,関連計画確認,町公式ページで温対区域施策編R7-R12を確認。環境基本計画ではない https://www.urahoro.jp/news/detail.html?content=620,中（温対連携）,環境基本計画は未確認。温対区域施策編の進捗管理・改定支援を入口にする,
174,北海道,釧路市,市,釧路（振興局）,努力義務,第2次釧路市環境基本計画【改定版】,令和3年度(2021),令和12年度(2030),非該当（令和6年3月に一部改定）,確認済,釧路市 第2次環境基本計画【改定版】。計画期間は令和3年度～令和12年度。国・北海道の温暖化計画改定を受け、低炭素社会の形成の目標を令和6年3月に改定,中（期間中改定の実例）,計画期間中だが低炭素分野を一部改定した実績がある。国の2035年度目標を踏まえた再度の部分改定の余地を確認する,
175,北海道,釧路町,町,釧路（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,公式情報検索では環境基本計画の計画期間を確認できず,低（未確認継続）,公式計画一覧・環境担当ページでPDFの有無を継続確認,
176,北海道,厚岸町,町,釧路（振興局）,努力義務,第2期厚岸町豊かな環境を守り育てる基本計画,,終期要PDF確認,要確認,一部確認（計画・年次報告確認）,町公式で計画ページ・年次報告を確認。HTML上では計画期間未確認 https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyo19/ / https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyokekka/,優先（期間要確認）,PDF本文で計画期間だけ確認。年次報告2024があるため現行性は高い,
177,北海道,浜中町,町,釧路（振興局）,努力義務,第3次浜中町環境基本計画,令和7年度(2025),令和17年度(2035)（令和18年3月まで）,非該当,確認済,町公式ページで第3次計画R7年3月策定、募集資料でR18年3月までの10年計画を確認 https://www.townhamanaka.jp/kurashi_kankyou/kankyou/2017-0323-kankyoukihonkeikaku.html / https://www.townhamanaka.jp/kakuka/juuminkankyouka/kankyouseisaku/2024-0626-1005-52.html,低（改定直後）,次期改定はR16年度頃。短期は進捗管理・アンケート分析支援を確認,
178,北海道,標茶町,町,釧路（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,公式情報検索では環境基本計画の計画期間を確認できず,低（未確認継続）,公式計画一覧・環境担当ページでPDFの有無を継続確認,
179,北海道,弟子屈町,町,釧路（振興局）,努力義務,弟子屈町環境基本計画（外部DBで存在確認）,,公式終期未確認,要確認,一部確認（外部DB・公式期間未確認）,外部DBで計画名は確認できるが、公式ページ・期間は未確認,優先（公式期間要確認）,公式PDFの有無と計画期間のみ確認。外部DB情報だけで終期を埋めない,
180,北海道,鶴居村,村,釧路（振興局）,努力義務,第2次鶴居村環境基本計画,,終期要PDF確認,要確認,一部確認（計画掲載確認）,村公式の計画一覧で第2次環境基本計画を確認。HTML上では期間未確認 https://www.vill.tsurui.lg.jp/soshikikarasagasu/kikakuzaiseika/muranokeikaku/804.html,優先（期間要確認）,PDF本文で計画期間だけ確認,
181,北海道,白糠町,町,釧路（振興局）,努力義務,関連：地球温暖化対策実行計画,令和7年度(2025),令和12年度(2030),未確認（関連計画のみ）,関連計画確認,町公式で温対実行計画R7-R12を確認。環境基本計画ではない https://www.town.shiranuka.lg.jp/section/kikaku/h8v21a000000mwha.html,中（温対連携）,環境基本計画は未確認。温対計画の進捗管理・改定支援を入口にする,
182,北海道,根室市,市,根室（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
183,北海道,別海町,町,根室（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
184,北海道,中標津町,町,根室（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
185,北海道,標津町,町,根室（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
186,北海道,羅臼町,町,根室（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
187,青森県,青森市,市,東青,義務,環境基本計画は確認できず（関連：地球温暖化対策実行計画）,,,要確認（環境基本計画の有無から）,公式検索確認,青森市サイト・検索では環境基本計画を確認できず。地球温暖化対策実行計画（区域施策編 令和7年3月改定／事務事業編 第4期）は確認できる。中核市のため区域施策編は策定義務,最優先（義務団体・計画の有無から確認）,環境基本計画の有無そのものを確認する。未策定なら新規策定提案の対象。策定済みなら計画名が異なる可能性があるため計画一覧から探す,
188,青森県,平内町,町,東青,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
189,青森県,今別町,町,東青,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
190,青森県,蓬田村,村,東青,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
191,青森県,外ヶ浜町,町,東青,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
192,青森県,弘前市,市,津軽,努力義務,第三次弘前市環境基本計画,令和3年度(2021),令和9年度(2027),★該当,確認済,添付周期表および弘前市公式ページ https://www.city.hirosaki.aomori.jp/jouhou/keikaku/2021-0401-kankyoukihon.html。2021（令和3）年度～2027（令和9）年度を確認,優先（R9満了）,令和9年度当初予算への計上を狙い、青森県計画との整合、2030目標の中間評価、温対実行計画との重複整理を提案する,
193,青森県,黒石市,市,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
194,青森県,五所川原市,市,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
195,青森県,平川市,市,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
196,青森県,鰺ヶ沢町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
197,青森県,深浦町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
198,青森県,西目屋村,村,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
199,青森県,藤崎町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
200,青森県,大鰐町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
201,青森県,田舎館村,村,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
202,青森県,板柳町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
203,青森県,鶴田町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
204,青森県,中泊町,町,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
205,青森県,つがる市,市,津軽,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
206,青森県,十和田市,市,上北・下北,努力義務,環境基本計画は確認できず（関連：環境保全率先行動計画・地球温暖化対策実行計画）,,,要確認（環境基本計画の有無から）,公式検索確認,十和田市サイト・検索では環境基本計画を確認できず。環境保全率先行動計画『とわだエコ・オフィスプラン』第5次が令和4年4月から令和8年度、地球温暖化対策実行計画（区域施策編）は確認できる,中（関連計画がR8満了）,環境保全率先行動計画が令和8年度で満了するため、その改定を入口に環境基本計画の有無を確認する,
207,青森県,三沢市,市,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
208,青森県,むつ市,市,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
209,青森県,野辺地町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
210,青森県,七戸町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
211,青森県,六戸町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
212,青森県,横浜町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
213,青森県,東北町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
214,青森県,六ヶ所村,村,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
215,青森県,おいらせ町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
216,青森県,大間町,町,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
217,青森県,東通村,村,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
218,青森県,風間浦村,村,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
219,青森県,佐井村,村,上北・下北,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
220,青森県,八戸市,市,三八,義務,第3次八戸市環境基本計画,令和5年度(2023),令和12年度(2030),非該当,確認済,八戸市 第3次環境基本計画PDF（令和5年9月策定）,優先（義務団体）,終期の前年度に予算が立つため、接触時期をカレンダーに置く,
221,青森県,三戸町,町,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
222,青森県,五戸町,町,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
223,青森県,田子町,町,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
224,青森県,南部町,町,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
225,青森県,階上町,町,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
226,青森県,新郷村,村,三八,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
227,岩手県,盛岡市,市,県央,義務,盛岡市環境基本計画（第三次）,令和3年度(2021),令和12年度(2030),非該当,確認済,盛岡市 環境基本計画（第三次）ページ・概要版PDF,優先（義務団体）,終期の前年度に予算が立つため、接触時期をカレンダーに置く,
228,岩手県,滝沢市,市,県央,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
229,岩手県,八幡平市,市,県央,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
230,岩手県,雫石町,町,県央,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
231,岩手県,葛巻町,町,県央,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
232,岩手県,岩手町,町,県央,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
